,open,high,low,close,adjclose,volume,ticker
2019-04-11,19.0,19.799999237060547,18.649999618530273,19.049999237060547,15.901786804199219,89144982,RVNL.NS
2019-04-12,19.299999237060547,19.899999618530273,19.200000762939453,19.75,16.48610496520996,29799546,RVNL.NS
2019-04-15,20.0,23.700000762939453,19.899999618530273,23.649999618530273,19.741588592529297,80684771,RVNL.NS
2019-04-16,24.5,26.950000762939453,24.200000762939453,25.600000381469727,21.369333267211914,98193853,RVNL.NS
2019-04-18,26.350000381469727,26.850000381469727,25.149999618530273,26.149999618530273,21.828433990478516,49134384,RVNL.NS
2019-04-22,26.25,26.399999618530273,24.299999237060547,24.600000381469727,20.53459358215332,27638075,RVNL.NS
2019-04-23,24.5,24.649999618530273,23.0,23.25,19.40769386291504,23479783,RVNL.NS
2019-04-24,23.450000762939453,24.200000762939453,23.350000381469727,23.700000762939453,19.783327102661133,10435909,RVNL.NS
2019-04-25,23.950000762939453,24.149999618530273,23.200000762939453,23.5,19.616376876831055,9656994,RVNL.NS
2019-04-26,23.5,23.649999618530273,22.950000762939453,23.049999237060547,19.240745544433594,7087998,RVNL.NS
2019-04-30,23.049999237060547,23.049999237060547,21.200000762939453,22.049999237060547,18.406005859375,12865523,RVNL.NS
2019-05-02,22.049999237060547,24.450000762939453,22.049999237060547,23.899999618530273,19.950275421142578,21855261,RVNL.NS
2019-05-03,24.200000762939453,24.350000381469727,23.100000381469727,23.149999618530273,19.324220657348633,7641982,RVNL.NS
2019-05-06,22.75,23.100000381469727,22.200000762939453,22.700000762939453,18.94858741760254,4701329,RVNL.NS
2019-05-07,23.200000762939453,23.549999237060547,22.700000762939453,22.799999237060547,19.032058715820312,4706773,RVNL.NS
2019-05-08,22.700000762939453,23.0,22.5,22.600000381469727,18.865110397338867,4409931,RVNL.NS
2019-05-09,22.5,23.200000762939453,22.5,22.799999237060547,19.032058715820312,5263687,RVNL.NS
2019-05-10,23.0,23.100000381469727,22.600000381469727,22.700000762939453,18.94858741760254,3917012,RVNL.NS
2019-05-13,22.799999237060547,22.899999618530273,21.850000381469727,22.0,18.364267349243164,6530467,RVNL.NS
2019-05-14,21.299999237060547,22.0,21.299999237060547,21.850000381469727,18.239059448242188,4430457,RVNL.NS
2019-05-15,21.899999618530273,22.399999618530273,21.75,21.850000381469727,18.239059448242188,2788664,RVNL.NS
2019-05-16,22.0,22.049999237060547,21.5,21.75,18.15558433532715,2618948,RVNL.NS
2019-05-17,21.700000762939453,22.399999618530273,21.450000762939453,22.100000381469727,18.447742462158203,4058030,RVNL.NS
2019-05-20,24.200000762939453,24.5,22.799999237060547,23.899999618530273,19.950275421142578,10019136,RVNL.NS
2019-05-21,24.0,24.100000381469727,23.100000381469727,23.350000381469727,19.491168975830078,3911699,RVNL.NS
2019-05-22,23.149999618530273,24.0,22.899999618530273,23.899999618530273,19.950275421142578,4219518,RVNL.NS
2019-05-23,24.5,25.200000762939453,23.5,23.75,19.82506561279297,13788157,RVNL.NS
2019-05-24,24.149999618530273,26.0,23.549999237060547,25.600000381469727,21.369333267211914,24360607,RVNL.NS
2019-05-27,26.0,28.049999237060547,25.75,27.799999237060547,23.205759048461914,35706613,RVNL.NS
2019-05-28,28.200000762939453,29.899999618530273,27.399999618530273,29.0,24.207447052001953,40083414,RVNL.NS
2019-05-29,29.200000762939453,29.75,27.549999237060547,28.75,23.998760223388672,25180226,RVNL.NS
2019-05-30,29.0,29.5,27.700000762939453,28.299999237060547,23.623126983642578,15230422,RVNL.NS
2019-05-31,28.149999618530273,28.200000762939453,26.549999237060547,27.0,22.537967681884766,16861938,RVNL.NS
2019-06-03,26.899999618530273,27.0,25.850000381469727,26.25,21.91191291809082,10780479,RVNL.NS
2019-06-04,26.200000762939453,28.350000381469727,25.700000762939453,27.649999618530273,23.08054542541504,29326652,RVNL.NS
2019-06-06,27.899999618530273,28.350000381469727,27.350000381469727,27.850000381469727,23.247495651245117,16563302,RVNL.NS
2019-06-07,28.149999618530273,28.299999237060547,27.149999618530273,27.450000762939453,22.91360092163086,8855839,RVNL.NS
2019-06-10,27.5,27.850000381469727,26.399999618530273,26.75,22.329280853271484,8182783,RVNL.NS
2019-06-11,26.75,26.850000381469727,26.0,26.149999618530273,21.828433990478516,7696976,RVNL.NS
2019-06-12,26.200000762939453,26.75,25.850000381469727,25.899999618530273,21.619752883911133,6350179,RVNL.NS
2019-06-13,25.950000762939453,26.299999237060547,25.75,25.899999618530273,21.619752883911133,4674283,RVNL.NS
2019-06-14,25.950000762939453,26.899999618530273,25.950000762939453,26.75,22.329280853271484,8008344,RVNL.NS
2019-06-17,26.950000762939453,27.399999618530273,26.5,26.899999618530273,22.454492568969727,6580348,RVNL.NS
2019-06-18,27.0,27.25,26.5,26.75,22.329280853271484,5220986,RVNL.NS
2019-06-19,26.850000381469727,27.100000381469727,25.799999237060547,26.049999237060547,21.744962692260742,6136025,RVNL.NS
2019-06-20,26.049999237060547,26.799999237060547,25.600000381469727,26.25,21.91191291809082,5343371,RVNL.NS
2019-06-21,26.450000762939453,26.75,26.200000762939453,26.399999618530273,22.03712272644043,4526851,RVNL.NS
2019-06-24,26.399999618530273,26.5,25.899999618530273,26.100000381469727,21.786701202392578,3136463,RVNL.NS
2019-06-25,26.049999237060547,26.25,25.899999618530273,26.149999618530273,21.828433990478516,2174486,RVNL.NS
2019-06-26,26.100000381469727,27.0,25.950000762939453,26.549999237060547,22.162334442138672,5669820,RVNL.NS
2019-06-27,26.649999618530273,27.899999618530273,26.600000381469727,27.649999618530273,23.08054542541504,10775034,RVNL.NS
2019-06-28,28.0,28.200000762939453,27.5,27.799999237060547,23.205759048461914,6937627,RVNL.NS
2019-07-01,28.049999237060547,28.149999618530273,27.649999618530273,27.799999237060547,23.205759048461914,4765023,RVNL.NS
2019-07-02,27.799999237060547,27.899999618530273,27.149999618530273,27.75,23.164018630981445,4364940,RVNL.NS
2019-07-03,27.75,28.850000381469727,27.700000762939453,28.549999237060547,23.831811904907227,10745849,RVNL.NS
2019-07-04,28.700000762939453,28.950000762939453,28.100000381469727,28.299999237060547,23.623126983642578,8082229,RVNL.NS
2019-07-05,28.350000381469727,28.600000381469727,26.799999237060547,27.0,22.537967681884766,14461450,RVNL.NS
2019-07-08,26.75,26.75,25.799999237060547,26.25,21.91191291809082,6552058,RVNL.NS
2019-07-09,25.799999237060547,26.899999618530273,25.799999237060547,26.649999618530273,22.245805740356445,4607745,RVNL.NS
2019-07-10,26.649999618530273,26.799999237060547,26.0,26.200000762939453,21.870176315307617,2607539,RVNL.NS
2019-07-11,26.350000381469727,26.549999237060547,26.149999618530273,26.350000381469727,21.995386123657227,2241893,RVNL.NS
2019-07-12,26.350000381469727,26.399999618530273,25.799999237060547,26.049999237060547,21.744962692260742,3020307,RVNL.NS
2019-07-15,26.149999618530273,26.200000762939453,25.549999237060547,25.600000381469727,21.369333267211914,3498001,RVNL.NS
2019-07-16,25.549999237060547,25.649999618530273,24.899999618530273,25.149999618530273,20.993698120117188,4012423,RVNL.NS
2019-07-17,25.25,25.5,25.0,25.25,21.077171325683594,1991908,RVNL.NS
2019-07-18,25.350000381469727,25.350000381469727,24.600000381469727,24.700000762939453,20.618066787719727,2634274,RVNL.NS
2019-07-19,24.75,25.25,24.049999237060547,24.100000381469727,20.117225646972656,3502811,RVNL.NS
2019-07-22,24.0,24.399999618530273,23.5,24.149999618530273,20.158960342407227,3403335,RVNL.NS
2019-07-23,24.399999618530273,24.75,23.700000762939453,23.75,19.82506561279297,2808690,RVNL.NS
2019-07-24,23.75,24.049999237060547,23.649999618530273,23.75,19.82506561279297,2558042,RVNL.NS
2019-07-25,23.75,24.149999618530273,23.700000762939453,24.0,20.033748626708984,2675122,RVNL.NS
2019-07-26,24.0,24.200000762939453,23.799999237060547,23.950000762939453,19.99201202392578,2187581,RVNL.NS
2019-07-29,24.0,24.049999237060547,23.649999618530273,23.700000762939453,19.783327102661133,1379247,RVNL.NS
2019-07-30,23.649999618530273,23.899999618530273,22.350000381469727,22.5,18.781641006469727,3643069,RVNL.NS
2019-07-31,22.399999618530273,23.75,22.100000381469727,23.399999618530273,19.532901763916016,4032996,RVNL.NS
2019-08-01,23.399999618530273,24.149999618530273,23.299999237060547,23.799999237060547,19.866798400878906,3419089,RVNL.NS
2019-08-02,23.799999237060547,24.200000762939453,23.350000381469727,23.899999618530273,19.950275421142578,1974989,RVNL.NS
2019-08-05,23.899999618530273,23.899999618530273,22.899999618530273,23.5,19.616376876831055,2115108,RVNL.NS
2019-08-06,23.299999237060547,24.100000381469727,23.100000381469727,23.850000381469727,19.908536911010742,1423049,RVNL.NS
2019-08-07,23.850000381469727,24.100000381469727,23.549999237060547,23.700000762939453,19.783327102661133,1307704,RVNL.NS
2019-08-08,24.0,24.700000762939453,23.549999237060547,24.350000381469727,20.325908660888672,3927902,RVNL.NS
2019-08-09,24.5,26.399999618530273,24.5,26.0,21.703227996826172,8740461,RVNL.NS
2019-08-13,26.25,26.299999237060547,24.549999237060547,24.700000762939453,20.618066787719727,2552382,RVNL.NS
2019-08-14,24.950000762939453,24.950000762939453,24.200000762939453,24.549999237060547,20.49285316467285,1097841,RVNL.NS
2019-08-16,24.350000381469727,24.850000381469727,24.049999237060547,24.600000381469727,20.53459358215332,1303815,RVNL.NS
2019-08-19,24.399999618530273,24.75,24.299999237060547,24.399999618530273,20.367643356323242,1042617,RVNL.NS
2019-08-20,24.5,24.700000762939453,23.899999618530273,24.299999237060547,20.284168243408203,1463235,RVNL.NS
2019-08-21,24.299999237060547,24.399999618530273,23.649999618530273,23.799999237060547,19.866798400878906,2175564,RVNL.NS
